"X.1","tree.id","tree.ref","ref.is.self","ref.is.ref","ref.is.tree","ref.missing","plot.id","foc","cmp","species","dbh","ba20","ref","brg.to.ref","backbrg","dist.to.ref","notes","tree.or.logger","former.id","X","brg.to.ref.true","x","y","dummy.coords","elev","voronoi.area","radius","radius.external"
69,"2116","RS91HR1",FALSE,TRUE,FALSE,FALSE,"RS91H","X",NA,"PSME",68.9,12,"RS91HR1",106,FALSE,14.8,"","tree","","",119.5,15619.01811,-26032.48191,0,1477.78173636094,48.201681,NA,260.08974
70,"2600","PM101",FALSE,TRUE,FALSE,FALSE,"TEDDY","X",NA,"PIPO",73.5,10,"PM101",172,FALSE,12.7,"","tree","","",185.5,30045.28193,-33420.45674,0,1201.48412039565,39.11853386,NA,275.3691
71,"4044","4043",FALSE,FALSE,TRUE,FALSE,"ULC1","X",NA,"PSME",42.8,8,"4043",214,TRUE,6.2,"","tree","","",47.5,-83936.16098,105122.8003,0,432.260404837776,NA,NA,173.39598
72,"1450","1449",FALSE,FALSE,TRUE,FALSE,"ZA04A","X",NA,"PSME",56,11,"1449",273,FALSE,11.4,"","tree","","",286.5,-48845.54682,130187.3717,0,1714.75971762742,77.40922128,194.427123420803,217.2411
73,"1479","1475",FALSE,FALSE,TRUE,FALSE,"WA01","X",NA,"PSME",180.2,14,"1475",64,FALSE,37.3,"","tree","","",77.5,-54466.27853,130077.5515,0,1466.52871733375,114.6233599,NA,629.78382
74,"1488","1397",FALSE,FALSE,TRUE,FALSE,"SS24","X",NA,"PSME",59,8,"1397",115,FALSE,8.6,"","tree","","",128.5,-64028.07541,117772.377,0,1245.55225472522,29.25047027,NA,227.2059
76,"1088","1042",FALSE,TRUE,FALSE,FALSE,"SS81B","X",NA,"PSME",117.5,10,"1042",234,FALSE,6,"","tree","","",247.5,-102689.4086,188592.6817,0,1122.99332552338,24.82487378,NA,421.5195
77,"2106","2104",FALSE,FALSE,TRUE,FALSE,"RS91","X",NA,"PSME",135.1,8,"2104",82,TRUE,14.4,"","tree","","",275.5,15394.09805,-26340.19766,0,1488.94205675052,144.6230603,NA,479.97966
78,"2151","RS54R1",FALSE,TRUE,FALSE,FALSE,"RS54","X",NA,"PIPO",68.7,8,"RS54R1",63,TRUE,4.7,"","tree","","",256.5,25650.91028,-33219.01759,0,1430.5458497958,37.43393785,265.747159009815,259.42542
79,"2050","2049",FALSE,FALSE,TRUE,FALSE,"RS77","X",NA,"PSME",44.1,9,"2049",241,FALSE,11.5,"","tree","","",254.5,17779.76191,-10350.9538,0,1367.86111677961,35.32268155,NA,177.71406
